timestamp,scream,flushed,stuckOutTongue,stuckOutTongueWinkingEye,wink,smirk,rage,disappointed,kissing,laughing,smiley,relaxed,BrowRaise,BrowFurrow,NoseWrinkle,UpperLipRaise,LipCornerDepressor,ChinRaise,LipPucker,LipPress,LipSuck,MouthOpen,Smirk,EyeClosure,Attention,EyeWiden,CheekRaise,LidTighten,Dimpler,LipStretch,JawDrop,InnerBrowRaise,Smile,Engagement,Valence,Contempt,Surprise,Anger,Sadness,Disgust,Fear,Joy,Glasses
10.8,0.02801968,0.001829086,0,0,0.001855689,1.906415E-06,0.05184107,0.001829136,0.00207671,0.001821161,0.00182191,0.001826404,1.82588E-05,0.01896317,0.0005763142,9.619472E-05,9.891349E-05,0.3962026,0.1421027,0.008641778,0.2872188,95.00072,0.01265394,3.484314E-07,51.2211,6.23662E-06,1.099564E-05,2.212665,0.2058606,0.6935157,0.01113962,0.212357,0.01419706,41.19922,0,0.1927956,2.039922,0.05184107,0.001022852,2.315332,0.004632374,0.01029953,1
10.86667,0.02801155,0.001829086,0,0,0.001855546,1.906631E-06,0.0489898,0.001829126,0.002055606,0.001822015,0.001823035,0.00182722,2.074419E-05,0.01763731,2.171674E-05,2.152418E-06,0.0001439507,0.3092478,0.204823,0.01049519,0.155886,93.24779,0.008758286,3.303334E-07,54.14462,9.692556E-06,1.640023E-05,2.260926,0.1751214,0.5309027,0.0197603,0.2144063,0.01996773,38.20065,0,0.192628,1.954726,0.0489898,0.001086365,2.25757,0.004610431,0.009986773,1
10.93333,0.02800646,0.001829086,0,0,0.001855103,1.906815E-06,0.03227933,0.001829122,0.002030269,0.001822966,0.001824314,0.001828165,2.26108E-05,0.01680888,1.000278E-06,4.946042E-08,0.0001862267,0.2938625,0.2575481,0.05871061,0.1473135,80.56281,0.007500438,5.315803E-07,48.88143,1.294282E-05,2.118481E-05,2.37607,0.2362896,0.5330736,0.02087338,0.2128337,0.02406968,19.986,0,0.1925402,1.43117,0.03227933,0.001656264,1.801213,0.004608998,0.007935697,1
11,0.02800266,0.001829087,0,0,0.001854128,1.906952E-06,0.01744841,0.001829121,0.002014688,0.00182385,0.001825649,0.001829253,4.268809E-05,0.01974665,4.236075E-07,1.170291E-08,0.0002214964,0.2453454,0.25221,0.8293006,0.1520121,62.11842,0.005733978,1.756377E-06,48.07865,1.081574E-05,3.341507E-05,2.40968,0.4360562,0.8230269,0.01706805,0.2569113,0.03308995,6.271324,0,0.1923848,0.9078357,0.01744841,0.003031322,1.293616,0.004644183,0.00568212,1
11.03333,0.02799901,0.001829087,0,0,0.001852532,1.907047E-06,0.0106832,0.001829121,0.001993071,0.001824492,0.001826889,0.001830431,6.327037E-05,0.02624184,1.485914E-06,4.06668E-08,0.0002472844,0.1820055,0.1974617,7.283401,0.1644311,47.21337,0.004220065,5.13029E-06,49.42116,1.215756E-05,5.051917E-05,2.553627,0.6848139,1.071833,0.01540349,0.2768923,0.04379303,2.256351,0,0.1922232,0.6271858,0.0106832,0.004477885,0.9882944,0.00467265,0.004339081,1
11.1,0.02799298,0.001829087,0,0,0.001852151,1.907103E-06,0.01187075,0.001829124,0.001965758,0.001824606,0.001828069,0.00183202,9.451578E-05,0.04885226,4.87823E-05,1.190116E-06,0.0002315796,0.2234714,0.1098323,7.458292,0.1912753,47.59021,0.00300479,0.0001857071,57.08035,7.800066E-06,0.0001230507,4.356926,0.6089171,1.465303,0.01644316,0.2024386,0.07821397,2.320143,0,0.191785,0.6313112,0.01187075,0.004382697,0.9915355,0.004705562,0.004387088,1
11.16667,0.0279843,0.001829087,0,0,0.001866432,1.907142E-06,0.007379655,0.001829126,0.001938721,0.001824968,0.001828427,0.00183306,6.705461E-05,0.1216709,0.000827472,1.050924E-05,0.000184114,0.1760745,0.07140556,14.65122,0.9493687,29.30239,0.002701867,0.09897009,38.24717,6.144686E-06,0.0001267405,6.843633,1.843669,1.908563,0.01167165,0.1285166,0.06750517,0.6424836,0,0.1921944,0.3982189,0.007379655,0.007070707,0.6877417,0.004767851,0.003125686,1
11.23333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.14144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.30281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11.36667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.34338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
